Symbol,Name,Industry,Market Cap
AIRI,Air Industries Group,Aerospace & Defense,28205171
AIRS,AirSculpt Technologies,Medical Care Facilities,738901816
AIRT,Air T,Air Freight & Logistics,60847492
AIT,Applied Industrial Technologies,Trading Companies & Distributors,3882568139
AIV,Apartment Investment & Management Company,Equity Real Estate Investment Trusts ...,1075519870
AIZ,Assurant,Insurance,9374713750
AJG,Arthur J. Gallagher & Company,Insurance,32036220811
AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,3123503843
AJX,Great Ajax,Mortgage Real Estate Investment Trust...,262513062
AKA,a.k.a. Brands Holding,Internet Retail,562191742
AKAM,Akamai Technologies,IT Services,17388029872
AKBA,Akebia Therapeutics,Biotechnology,473012894
AKIC,Sports Ventures Acquisition,Blank Check / SPAC,289100309
AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,1830404732
AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,1877367669
AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts ...,2128994429
AKRO,Akero Therapeutics,Biotechnology,497533309
AKTS,Akoustis Technologies,"Electronic Equipment, Instruments & C...",325847515
AKTX,Akari Therapeutics,Pharmaceuticals,60473167
AKU,Akumin,Diagnostics & Research,84575647
AKUS,Akouos,Biotechnology,159706766
AKYA,Akoya Biosciences,Medical Instruments & Supplies,366124761
AL,Air Lease,Trading Companies & Distributors,4268779247
ALAC,Alberton Acquisition,Blank Check / SPAC,53761440
ALB,Albemarle,Chemicals,21623754641
ALBO,Albireo Pharma,Biotechnology,622485117
ALC,Alcon,Medical Instruments & Supplies,35781255155
ALCC,AltC Acquisition,Blank Check / SPAC,621594038
ALCO,Alico,Food Products,259335707
ALDX,Aldeyra Therapeutics,Biotechnology,238177597
ALE,ALLETE,Electric Utilities,3496513779
ALEC,Alector,Biotechnology,1147736829
ALEX,Alexander & Baldwin,Equity Real Estate Investment Trusts ...,1682551283
ALF,"ALFI, Inc.",Software-Infrastructure,26040623
ALG,Alamo Group,Machinery,1717030758
ALGM,Allegro MicroSystems,Semiconductors & Semiconductor Equipment,4894084089
ALGN,Align Technology,Health Care Equipment & Supplies,31570994988
ALGS,Aligos Therapeutics,Biotechnology,110577711
ALGT,Allegiant Travel Company,Airlines,2540208000
ALHC,Alignment Healthcare,Health Care Providers & Services,1745335165
ALIM,Alimera Sciences,Pharmaceuticals,37396623
ALIT,Alight,Software-Application,4748370943
ALJJ,ALJ Regional Holdings,IT Services,104325648
ALK,Alaska Air Group,Airlines,6147023840
ALKS,Alkermes,Biotechnology,3948803829
ALKT,Alkami Technology,Software-Application,1245953529
ALL,The Allstate Corporation,Insurance,34342326148
ALLE,Allegion,Building Products,9820925935
ALLK,Allakos,Biotechnology,304081948
ALLO,Allogene Therapeutics,Biotechnology,1166283897
ALLR,Allarity Therapeutics,Biotechnology,18816658
ALLT,Allot,Software,277411434
ALLY,Ally Financial,Consumer Finance,13787651059
ALNA,Allena Pharmaceuticals,Biotechnology,38426655
ALNY,Alnylam Pharmaceuticals,Biotechnology,18627741600
ALOR,ALSP Orchid Acquisition I,Blank Check / SPAC,223875900
ALOT,AstroNova,"Technology Hardware, Storage & Periph...",106524230
ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,191166220
ALPN,Alpine Immune Sciences,Biotechnology,223242312
ALPP,Alpine 4 Holdings,Metal Fabrication,249207762
ALR,AlerisLife,Medical Care Facilities,81547000
ALRM,Alarm.com Holdings,Software,3242549980
ALRN,Aileron Therapeutics,Biotechnology,37687675
ALRS,Alerus Financial,Diversified Financial Services,496583510
ALSA,Alpha Star Acquisition,Blank Check / SPAC,145138350
ALSN,Allison Transmission Holdings,Machinery,3807123186
ALT,Altimmune,Biotechnology,276580669
ALTG,Alta Equipment Group,Trading Companies & Distributors,394833467
ALTO,Alto Ingredients,"Oil, Gas & Consumable Fuels",446260959
ALTR,Altair Engineering,Software,4842357733
ALTU,Altitude Acquisition,Blank Check / SPAC,372749980
ALV,Autoliv,Auto Components,6449659886
ALVR,AlloVir,Biotechnology,480289402
ALX,Alexander's,Equity Real Estate Investment Trusts ...,1281623352
ALXO,ALX Oncology Holdings,Biotechnology,736638198
ALYA,Alithya Group,IT Services,242312175
ALZN,Alzamend Neuro,Biotechnology,85296384
AM,Antero Midstream,"Oil, Gas & Consumable Fuels",4872366589
AMAL,Amalgamated Financial,Banks,549446265
AMAM,Ambrx Biopharma,Biotechnology,171280480
AMAO,American Acquisition Opportunity,Blank Check / SPAC,163533675
AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,1.09223E+11
AMBA,Ambarella,Semiconductors & Semiconductor Equipment,3161914809
AMBC,Ambac Financial Group,Insurance,576432255
AMBO,Ambow Education Holding,Diversified Consumer Services,14873792
AMBP,Ardagh Metal Packaging,Packaging & Containers,4753980415
AMC,AMC Entertainment Holdings,Entertainment,7340618742
AMCI,AMCI Acquisition II,Blank Check / SPAC,183187500
AMCR,Amcor,Containers & Packaging,16499656694
AMCX,AMC Networks,Media,1631479773
AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,1.69717E+11
AME,AMETEK,Electrical Equipment,29273102318
AMED,Amedisys,Health Care Providers & Services,4875927537
AMEH,Apollo Medical Holdings,Health Care Providers & Services,1813832568
AMG,Affiliated Managers Group,Capital Markets,5070167482
AMGN,Amgen,Biotechnology,1.27476E+11
AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts ...,15393747946
AMK,AssetMark Financial Holdings,Capital Markets,1537460471
AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,5092863480
AMLX,Amylyx Pharmaceuticals,Biotechnology,1463673396
AMN,AMN Healthcare Services,Health Care Providers & Services,4374021114
AMNB,American National Bankshares,Banks,404085472
AMOT,Allied Motion Technologies,Electrical Equipment,466649196
AMOV,America Movil,Wireless Telecommunication Services,60573659124
AMP,Ameriprise Financial,Capital Markets,30109874098
AMPE,Ampio Pharmaceuticals,Pharmaceuticals,99074103
AMPG,AmpliTech Group,Communication Equipment,34351864
AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1641224061
AMPI,Advanced Merger Partners,Blank Check / SPAC,350750009
AMPL,Amplitude,Software-Application,1841471100
AMPS,Altus Power,Utilities-Renewable,1313341310
AMPY,Amplify Energy,Oil & Gas E&P,232952891
AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",2459884957
AMRC,Ameresco,Construction & Engineering,3900529613
